
         Dual Mode Scramjet

  N       NA    Nm    cf         Dinj       L
   1221   3     3     0.00300    0.00300    1.220
         Area changes along axis
  xA      theta
  0.000    0.00
  0.390    0.60
  0.990    1.20
         Injections along axis
  xm      psi     y       angle
  0.110   0.50    0.10    80.00
  0.510   0.30    0.40    60.00
  0.810   0.20    0.60    40.00


  x        p           Ma       rho         V          T         F         Tt        Pt          s          a         Ac           A            gamma       mdot       W         G

   0.0000    51503.8   3.2300    0.205700   1877.230    872.22    100.00   2283.33   3130219.7       0.00   581.186   0.00379999   0.00379999   1.3491000    1.46735   28.9200    -71.46274
   0.0010    51503.8   3.2300    0.205700   1877.068    872.21    100.00   2283.33   3130219.7      -0.01   581.186   0.00379999   0.00379999   1.3491000    1.46735   28.9200    -71.46274
   0.0020    51503.2   3.2297    0.205718   1876.906    872.47    100.00   2283.30   3130219.7       0.32   581.182   0.00379999   0.00379999   1.3490803    1.46735   28.9200    -71.46291
   0.0030    51523.2   3.2290    0.205735   1876.746    872.74     99.98   2283.76   3128931.0       0.55   581.270   0.00379999   0.00379999   1.3490812    1.46735   28.9200    -65.90282
   0.0040    51543.2   3.2282    0.205753   1876.532    873.00     99.98   2283.75   3126444.4       0.77   581.358   0.00379999   0.00379999   1.3490590    1.46735   28.9200   -159.16936
   0.0050    51562.9   3.2274    0.205776   1876.319    873.35     99.97   2283.73   3123974.6       1.10   581.444   0.00379999   0.00379999   1.3490367    1.46735   28.9200    -69.25268
   0.0060    51589.5   3.2263    0.205800   1876.106    873.70     99.96   2283.87   3121077.4       1.40   581.561   0.00379999   0.00379999   1.3490147    1.46735   28.9200    -68.19762
   0.0070    51616.1   3.2253    0.205823   1875.875    874.05     99.96   2283.86   3117791.1       1.70   581.678   0.00379999   0.00379999   1.3489851    1.46735   28.9200    -98.42917
   0.0080    51642.6   3.2243    0.205849   1875.644    874.43     99.95   2283.85   3114515.1       2.03   581.794   0.00379999   0.00379999   1.3489555    1.46735   28.9200    -68.83959
   0.0090    51671.3   3.2232    0.205874   1875.414    874.81     99.94   2283.89   3111103.4       2.35   581.920   0.00379999   0.00379999   1.3489260    1.46735   28.9200    -68.38874
   0.0100    51700.1   3.2221    0.205899   1875.178    875.18     99.93   2283.88   3107569.0       2.67   582.046   0.00379999   0.00379999   1.3488940    1.46735   28.9200    -78.19246
   0.0110    51728.8   3.2210    0.205925   1874.942    875.57     99.92   2283.87   3104042.9       3.00   582.172   0.00379999   0.00379999   1.3488620    1.46735   28.9200    -68.40610
   0.0120    51758.2   3.2199    0.205951   1874.706    875.96     99.91   2283.87   3100477.2       3.33   582.301   0.00379999   0.00379999   1.3488301    1.46735   28.9200    -68.15976
   0.0130    51787.7   3.2188    0.205977   1874.468    876.35     99.91   2283.86   3096876.2       3.66   582.430   0.00379999   0.00379999   1.3487974    1.46735   28.9200    -71.27390
   0.0140    51817.1   3.2176    0.206003   1874.230    876.74     99.90   2283.85   3093282.9       3.99   582.559   0.00379999   0.00379999   1.3487646    1.46735   28.9200    -67.97448
   0.0150    51846.8   3.2165    0.206029   1873.992    877.13     99.89   2283.85   3089681.5       4.32   582.688   0.00379999   0.00379999   1.3487320    1.46735   28.9200    -67.79769
   0.0160    51876.4   3.2154    0.206055   1873.753    877.52     99.88   2283.83   3086073.6       4.65   582.818   0.00379999   0.00379999   1.3486990    1.46735   28.9200    -68.72248
   0.0170    51906.1   3.2143    0.206082   1873.515    877.91     99.87   2283.82   3082473.1       4.98   582.948   0.00379999   0.00379999   1.3486661    1.46735   28.9200    -67.54743
   0.0180    51935.8   3.2131    0.206108   1873.276    878.30     99.87   2283.81   3078874.8       5.31   583.078   0.00379999   0.00379999   1.3486333    1.46735   28.9200    -67.39478
   0.0190    51965.5   3.2120    0.206134   1873.038    878.69     99.86   2283.80   3075279.4       5.64   583.207   0.00379999   0.00379999   1.3486003    1.46735   28.9200    -67.60349
   0.0200    51995.3   3.2109    0.206160   1872.799    879.08     99.85   2283.79   3071691.2       5.97   583.337   0.00379999   0.00379999   1.3485674    1.46735   28.9200    -67.12470
   0.0210    52025.0   3.2098    0.206187   1872.561    879.47     99.84   2283.78   3068108.7       6.30   583.467   0.00379999   0.00379999   1.3485345    1.46735   28.9200    -67.02258
   0.0220    52054.8   3.2087    0.206213   1872.322    879.86     99.83   2283.77   3064532.0       6.63   583.596   0.00379999   0.00379999   1.3485016    1.46735   28.9200    -66.99825
   0.0230    52084.6   3.2075    0.206240   1872.083    880.25     99.83   2283.76   3060964.8       6.96   583.726   0.00379998   0.00379999   1.3484688    1.46735   28.9200    -66.72497
   0.0240    52114.3   3.2064    0.206266   1871.845    880.64     99.82   2283.74   3057404.3       7.28   583.855   0.00379997   0.00379999   1.3484359    1.46735   28.9200    -66.65410
   0.0250    52144.1   3.2053    0.206293   1871.606    881.03     99.81   2283.73   3053848.5       7.61   583.984   0.00379997   0.00379999   1.3484031    1.46735   28.9200    -66.55374
   0.0260    52174.0   3.2042    0.206319   1871.368    881.42     99.80   2283.72   3050302.9       7.94   584.114   0.00379996   0.00379999   1.3483703    1.46735   28.9200    -66.40698
   0.0270    52203.7   3.2031    0.206346   1871.129    881.81     99.79   2283.71   3046764.7       8.27   584.243   0.00379995   0.00379999   1.3483375    1.46735   28.9200    -66.26838
   0.0280    52233.6   3.2019    0.206373   1870.890    882.20     99.79   2283.70   3043231.2       8.59   584.372   0.00379994   0.00379999   1.3483047    1.46735   28.9200    -66.13321
   0.0290    52263.5   3.2008    0.206400   1870.652    882.59     99.78   2283.69   3039706.0       8.92   584.501   0.00379994   0.00379999   1.3482720    1.46735   28.9200    -66.10120
   0.0300    52293.3   3.1997    0.206426   1870.413    882.98     99.77   2283.67   3036189.5       9.25   584.630   0.00379992   0.00379999   1.3482392    1.46735   28.9200    -65.87128
   0.0310    52323.2   3.1986    0.206453   1870.174    883.37     99.76   2283.66   3032678.4       9.57   584.759   0.00379991   0.00379999   1.3482065    1.46735   28.9200    -65.75061
   0.0320    52353.1   3.1975    0.206480   1869.936    883.76     99.76   2283.65   3029173.2       9.90   584.888   0.00379990   0.00379999   1.3481738    1.46735   28.9200    -65.73990
   0.0330    52383.0   3.1964    0.206507   1869.697    884.15     99.75   2283.64   3025677.7      10.22   585.017   0.00379989   0.00379999   1.3481412    1.46735   28.9200    -65.50793
   0.0340    52412.9   3.1953    0.206535   1869.458    884.54     99.74   2283.62   3022189.0      10.55   585.145   0.00379987   0.00379999   1.3481085    1.46735   28.9200    -65.38668
   0.0350    52442.8   3.1942    0.206562   1869.219    884.93     99.73   2283.61   3018704.3      10.87   585.274   0.00379986   0.00379999   1.3480759    1.46735   28.9200    -65.32912
   0.0360    52472.8   3.1930    0.206589   1868.980    885.32     99.72   2283.60   3015229.3      11.20   585.403   0.00379984   0.00379999   1.3480433    1.46735   28.9200    -65.18860
   0.0370    52502.7   3.1919    0.206616   1868.742    885.70     99.72   2283.59   3011762.3      11.52   585.531   0.00379983   0.00379999   1.3480107    1.46735   28.9200    -65.01875
   0.0380    52532.7   3.1908    0.206643   1868.503    886.09     99.71   2283.58   3008299.2      11.85   585.660   0.00379981   0.00379999   1.3479781    1.46735   28.9200    -64.91175
   0.0390    52562.7   3.1897    0.206671   1868.264    886.48     99.70   2283.56   3004843.7      12.17   585.788   0.00379979   0.00379999   1.3479455    1.46735   28.9200    -64.87235
   0.0400    52592.6   3.1886    0.206698   1868.025    886.87     99.69   2283.55   3001397.8      12.49   585.916   0.00379977   0.00379999   1.3479130    1.46735   28.9200    -64.65363
   0.0410    52622.6   3.1875    0.206726   1867.786    887.26     99.69   2283.54   2997956.7      12.82   586.045   0.00379975   0.00379999   1.3478805    1.46735   28.9200    -64.51866
   0.0420    52652.7   3.1864    0.206753   1867.548    887.65     99.68   2283.53   2994520.9      13.14   586.173   0.00379973   0.00379999   1.3478480    1.46735   28.9200    -64.51689
   0.0430    52682.7   3.1853    0.206781   1867.309    888.03     99.67   2283.51   2991095.0      13.46   586.301   0.00379971   0.00379999   1.3478155    1.46735   28.9200    -64.31292
   0.0440    52712.7   3.1842    0.206808   1867.070    888.42     99.66   2283.50   2987676.1      13.78   586.429   0.00379969   0.00379999   1.3477830    1.46735   28.9200    -64.15065
   0.0450    52742.8   3.1831    0.206836   1866.831    888.81     99.66   2283.49   2984260.4      14.10   586.557   0.00379967   0.00379999   1.3477506    1.46735   28.9200    -64.11834
   0.0460    52772.9   3.1820    0.206864   1866.592    889.20     99.65   2283.47   2980853.9      14.43   586.685   0.00379964   0.00379999   1.3477181    1.46735   28.9200    -63.99642
   0.0470    52802.9   3.1809    0.206891   1866.353    889.58     99.64   2283.46   2977456.3      14.75   586.813   0.00379962   0.00379999   1.3476857    1.46735   28.9200    -63.79770
   0.0480    52833.0   3.1798    0.206919   1866.114    889.97     99.63   2283.45   2974061.8      15.07   586.940   0.00379959   0.00379999   1.3476533    1.46735   28.9200    -63.70573
   0.0490    52863.1   3.1787    0.206947   1865.875    890.36     99.63   2283.44   2970674.2      15.39   587.068   0.00379957   0.00379999   1.3476210    1.46735   28.9200    -63.67530
   0.0500    52893.2   3.1776    0.206975   1865.636    890.74     99.62   2283.42   2967296.9      15.71   587.196   0.00379954   0.00379999   1.3475886    1.46735   28.9200    -63.45926
   0.0510    52923.3   3.1765    0.207003   1865.397    891.13     99.61   2283.41   2963924.2      16.03   587.323   0.00379951   0.00379999   1.3475563    1.46735   28.9200    -63.30971
   0.0520    52953.5   3.1754    0.207031   1865.158    891.52     99.60   2283.40   2960555.7      16.35   587.451   0.00379948   0.00379999   1.3475240    1.46735   28.9200    -63.31948
   0.0530    52983.7   3.1743    0.207059   1864.919    891.90     99.60   2283.38   2957197.6      16.67   587.578   0.00379945   0.00379999   1.3474917    1.46735   28.9200    -63.13922
   0.0540    53013.8   3.1732    0.207087   1864.680    892.29     99.59   2283.37   2953846.6      16.99   587.705   0.00379942   0.00379999   1.3474594    1.46735   28.9200    -62.94306
   0.0550    53044.0   3.1721    0.207116   1864.441    892.68     99.58   2283.36   2950498.1      17.30   587.833   0.00379939   0.00379999   1.3474272    1.46735   28.9200    -62.92514
   0.0560    53074.2   3.1710    0.207144   1864.202    893.06     99.57   2283.34   2947158.3      17.62   587.960   0.00379936   0.00379999   1.3473949    1.46735   28.9200    -62.82882
   0.0570    53104.3   3.1699    0.207172   1863.963    893.45     99.57   2283.33   2943828.2      17.94   588.087   0.00379933   0.00379999   1.3473627    1.46735   28.9200    -62.60442
   0.0580    53134.5   3.1689    0.207201   1863.724    893.84     99.56   2283.32   2940500.6      18.26   588.214   0.00379929   0.00379999   1.3473305    1.46735   28.9200    -62.51559
   0.0590    53164.8   3.1678    0.207229   1863.485    894.22     99.55   2283.30   2937179.0      18.58   588.341   0.00379926   0.00379999   1.3472983    1.46735   28.9200    -62.50433
   0.0600    53195.0   3.1667    0.207257   1863.246    894.61     99.55   2283.29   2933868.4      18.89   588.468   0.00379923   0.00379999   1.3472662    1.46735   28.9200    -62.28852
   0.0610    53225.2   3.1656    0.207286   1863.007    894.99     99.54   2283.28   2930562.4      19.21   588.595   0.00379919   0.00379999   1.3472340    1.46735   28.9200    -62.12112
   0.0620    53255.5   3.1645    0.207314   1862.768    895.38     99.53   2283.26   2927259.6      19.53   588.722   0.00379916   0.00379999   1.3472019    1.46735   28.9200    -62.14455
   0.0630    53285.8   3.1634    0.207343   1862.529    895.76     99.52   2283.25   2923967.1      19.84   588.849   0.00379912   0.00379999   1.3471698    1.46735   28.9200    -61.98692
   0.0640    53316.0   3.1623    0.207371   1862.289    896.15     99.52   2283.24   2920682.5      20.16   588.975   0.00379908   0.00379999   1.3471377    1.46735   28.9200    -61.76063
   0.0650    53346.3   3.1612    0.207400   1862.050    896.53     99.51   2283.22   2917399.4      20.47   589.102   0.00379904   0.00379999   1.3471057    1.46735   28.9200    -61.74940
   0.0660    53376.6   3.1602    0.207429   1861.811    896.92     99.50   2283.21   2914124.5      20.79   589.228   0.00379901   0.00379999   1.3470736    1.46735   28.9200    -61.68316
   0.0670    53406.9   3.1591    0.207458   1861.572    897.30     99.50   2283.19   2910860.0      21.10   589.355   0.00379896   0.00379999   1.3470416    1.46735   28.9200    -61.43704
   0.0680    53437.2   3.1580    0.207486   1861.333    897.69     99.49   2283.18   2907597.8      21.42   589.481   0.00379892   0.00379999   1.3470096    1.46735   28.9200    -61.34152
   0.0690    53467.6   3.1569    0.207515   1861.094    898.07     99.48   2283.17   2904340.4      21.73   589.607   0.00379889   0.00379999   1.3469776    1.46735   28.9200    -61.35541
